Campo,Objeto,Filtro
j02-20170409T220207-01_prepro.fz,Feige66,J0430
j02-20170409T220250-01_prepro.fz,Feige66,J0515
j02-20170409T220329-01_prepro.fz,Feige66,J0660
j02-20170409T220414-01_prepro.fz,Feige66,J0861
j02-20170409T220454-01_prepro.fz,Feige34,iSDSS
j02-20170409T220541-01_prepro.fz,Feige34,uJAVA
j02-20170409T220624-01_prepro.fz,Feige34,J0430
j02-20170409T220716-01_prepro.fz,Feige34,J0861
j02-20170409T220816-01_prepro.fz,Feige34,J0515
j02-20170409T220900-01_prepro.fz,Feige34,J0410
j02-20170409T220954-01_prepro.fz,Feige34,rSDSS
j02-20170409T221040-01_prepro.fz,Feige34,J0378
j02-20170409T221146-01_prepro.fz,Feige34,J0660
j02-20170409T221257-01_prepro.fz,Feige34,gSDSS
j02-20170409T221342-01_prepro.fz,Feige34,J0395
j02-20170409T221451-01_prepro.fz,Feige34,zSDSS
j02-20170409T222605-01_prepro.fz,HD095735off,rSDSS
j02-20170409T222658-01_prepro.fz,HD095735off,uJAVA
j02-20170409T222727-01_prepro.fz,HD095735off,uJAVA
j02-20170409T222756-01_prepro.fz,HD095735off,uJAVA
j02-20170409T222841-01_prepro.fz,HD095735off,J0378
j02-20170409T222910-01_prepro.fz,HD095735off,J0378
j02-20170409T222941-01_prepro.fz,HD095735off,J0378
j02-20170409T223025-01_prepro.fz,HD095735off,J0395
j02-20170409T223053-01_prepro.fz,HD095735off,J0395
j02-20170409T223122-01_prepro.fz,HD095735off,J0395
j02-20170409T223205-01_prepro.fz,HD095735off,J0410
j02-20170409T223233-01_prepro.fz,HD095735off,J0410
j02-20170409T223302-01_prepro.fz,HD095735off,J0410
j02-20170409T223355-01_prepro.fz,HD095735off,J0430
j02-20170409T223427-01_prepro.fz,HD095735off,J0430
j02-20170409T223459-01_prepro.fz,HD095735off,J0430
j02-20170409T223542-01_prepro.fz,HD095735off,gSDSS
j02-20170409T223610-01_prepro.fz,HD095735off,gSDSS
j02-20170409T223640-01_prepro.fz,HD095735off,gSDSS
j02-20170409T223729-01_prepro.fz,HD095735off,J0515
j02-20170409T223759-01_prepro.fz,HD095735off,J0515
j02-20170409T223829-01_prepro.fz,HD095735off,J0515
j02-20170409T223923-01_prepro.fz,HD095735off,rSDSS
j02-20170409T223952-01_prepro.fz,HD095735off,rSDSS
j02-20170409T224021-01_prepro.fz,HD095735off,rSDSS
j02-20170409T224115-01_prepro.fz,HD095735off,J0660
j02-20170409T224145-01_prepro.fz,HD095735off,J0660
j02-20170409T224216-01_prepro.fz,HD095735off,J0660
j02-20170409T224310-01_prepro.fz,HD095735off,iSDSS
j02-20170409T224340-01_prepro.fz,HD095735off,iSDSS
j02-20170409T224409-01_prepro.fz,HD095735off,iSDSS
j02-20170409T224454-01_prepro.fz,HD095735off,J0861
j02-20170409T224523-01_prepro.fz,HD095735off,J0861
j02-20170409T224553-01_prepro.fz,HD095735off,J0861
j02-20170409T224637-01_prepro.fz,HD095735off,zSDSS
j02-20170409T224705-01_prepro.fz,HD095735off,zSDSS
j02-20170409T224736-01_prepro.fz,HD095735off,zSDSS
